atom,gamma_code,code_length,formula_length,length_match,translation,derivative,expected_derivative,derivative_match,closed_disk_image_bound,common_compact_containment,global_prefix_free,inventory_tags,inventory_filter_stage,candidate_target_calls
414,00000000110011110,17,17,True,-6655/262144,1/131072,1/131072,True,6657/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
415,00000000110011111,17,17,True,124417/262144,1/131072,1/131072,True,124419/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
416,00000000110100000,17,17,True,-125439/262144,1/131072,1/131072,True,125441/262144,True,True,all_integer_control,post_freeze_evaluator,0
417,00000000110100001,17,17,True,5633/262144,1/131072,1/131072,True,5635/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
418,00000000110100010,17,17,True,-59903/262144,1/131072,1/131072,True,59905/262144,True,True,all_integer_control,post_freeze_evaluator,0
419,00000000110100011,17,17,True,71169/262144,1/131072,1/131072,True,71171/262144,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
420,00000000110100100,17,17,True,-92671/262144,1/131072,1/131072,True,92673/262144,True,True,all_integer_control,post_freeze_evaluator,0
421,00000000110100101,17,17,True,38401/262144,1/131072,1/131072,True,38403/262144,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
422,00000000110100110,17,17,True,-27135/262144,1/131072,1/131072,True,27137/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
423,00000000110100111,17,17,True,103937/262144,1/131072,1/131072,True,103939/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
424,00000000110101000,17,17,True,-109055/262144,1/131072,1/131072,True,109057/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
425,00000000110101001,17,17,True,22017/262144,1/131072,1/131072,True,22019/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
426,00000000110101010,17,17,True,-43519/262144,1/131072,1/131072,True,43521/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
427,00000000110101011,17,17,True,87553/262144,1/131072,1/131072,True,87555/262144,True,True,all_integer_control,post_freeze_evaluator,0
428,00000000110101100,17,17,True,-76287/262144,1/131072,1/131072,True,76289/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
429,00000000110101101,17,17,True,54785/262144,1/131072,1/131072,True,54787/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
430,00000000110101110,17,17,True,-10751/262144,1/131072,1/131072,True,10753/262144,True,True,all_integer_control,post_freeze_evaluator,0
431,00000000110101111,17,17,True,120321/262144,1/131072,1/131072,True,120323/262144,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
432,00000000110110000,17,17,True,-117247/262144,1/131072,1/131072,True,117249/262144,True,True,all_integer_control,post_freeze_evaluator,0
433,00000000110110001,17,17,True,13825/262144,1/131072,1/131072,True,13827/262144,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
434,00000000110110010,17,17,True,-51711/262144,1/131072,1/131072,True,51713/262144,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
435,00000000110110011,17,17,True,79361/262144,1/131072,1/131072,True,79363/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
436,00000000110110100,17,17,True,-84479/262144,1/131072,1/131072,True,84481/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
437,00000000110110101,17,17,True,46593/262144,1/131072,1/131072,True,46595/262144,True,True,all_integer_control,post_freeze_evaluator,0
438,00000000110110110,17,17,True,-18943/262144,1/131072,1/131072,True,18945/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
439,00000000110110111,17,17,True,112129/262144,1/131072,1/131072,True,112131/262144,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
440,00000000110111000,17,17,True,-100863/262144,1/131072,1/131072,True,100865/262144,True,True,all_integer_control,post_freeze_evaluator,0
441,00000000110111001,17,17,True,30209/262144,1/131072,1/131072,True,30211/262144,True,True,square_control|all_integer_control,post_freeze_evaluator,0
442,00000000110111010,17,17,True,-35327/262144,1/131072,1/131072,True,35329/262144,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
443,00000000110111011,17,17,True,95745/262144,1/131072,1/131072,True,95747/262144,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
444,00000000110111100,17,17,True,-68095/262144,1/131072,1/131072,True,68097/262144,True,True,all_integer_control,post_freeze_evaluator,0
445,00000000110111101,17,17,True,62977/262144,1/131072,1/131072,True,62979/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
446,00000000110111110,17,17,True,-2559/262144,1/131072,1/131072,True,2561/262144,True,True,all_integer_control,post_freeze_evaluator,0
447,00000000110111111,17,17,True,128513/262144,1/131072,1/131072,True,128515/262144,True,True,all_integer_control,post_freeze_evaluator,0
448,00000000111000000,17,17,True,-127487/262144,1/131072,1/131072,True,127489/262144,True,True,all_integer_control,post_freeze_evaluator,0
449,00000000111000001,17,17,True,3585/262144,1/131072,1/131072,True,3587/262144,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
450,00000000111000010,17,17,True,-61951/262144,1/131072,1/131072,True,61953/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
451,00000000111000011,17,17,True,69121/262144,1/131072,1/131072,True,69123/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
452,00000000111000100,17,17,True,-94719/262144,1/131072,1/131072,True,94721/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
453,00000000111000101,17,17,True,36353/262144,1/131072,1/131072,True,36355/262144,True,True,all_integer_control,post_freeze_evaluator,0
454,00000000111000110,17,17,True,-29183/262144,1/131072,1/131072,True,29185/262144,True,True,all_integer_control,post_freeze_evaluator,0
455,00000000111000111,17,17,True,101889/262144,1/131072,1/131072,True,101891/262144,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash,post_freeze_evaluator,0
456,00000000111001000,17,17,True,-111103/262144,1/131072,1/131072,True,111105/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
457,00000000111001001,17,17,True,19969/262144,1/131072,1/131072,True,19971/262144,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
458,00000000111001010,17,17,True,-45567/262144,1/131072,1/131072,True,45569/262144,True,True,all_integer_control,post_freeze_evaluator,0
459,00000000111001011,17,17,True,85505/262144,1/131072,1/131072,True,85507/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
460,00000000111001100,17,17,True,-78335/262144,1/131072,1/131072,True,78337/262144,True,True,all_integer_control,post_freeze_evaluator,0
461,00000000111001101,17,17,True,52737/262144,1/131072,1/131072,True,52739/262144,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
462,00000000111001110,17,17,True,-12799/262144,1/131072,1/131072,True,12801/262144,True,True,all_integer_control,post_freeze_evaluator,0
463,00000000111001111,17,17,True,118273/262144,1/131072,1/131072,True,118275/262144,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
464,00000000111010000,17,17,True,-119295/262144,1/131072,1/131072,True,119297/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
465,00000000111010001,17,17,True,11777/262144,1/131072,1/131072,True,11779/262144,True,True,all_integer_control,post_freeze_evaluator,0
466,00000000111010010,17,17,True,-53759/262144,1/131072,1/131072,True,53761/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
467,00000000111010011,17,17,True,77313/262144,1/131072,1/131072,True,77315/262144,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
468,00000000111010100,17,17,True,-86527/262144,1/131072,1/131072,True,86529/262144,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash,post_freeze_evaluator,0
469,00000000111010101,17,17,True,44545/262144,1/131072,1/131072,True,44547/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
470,00000000111010110,17,17,True,-20991/262144,1/131072,1/131072,True,20993/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
471,00000000111010111,17,17,True,110081/262144,1/131072,1/131072,True,110083/262144,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
472,00000000111011000,17,17,True,-102911/262144,1/131072,1/131072,True,102913/262144,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
473,00000000111011001,17,17,True,28161/262144,1/131072,1/131072,True,28163/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
474,00000000111011010,17,17,True,-37375/262144,1/131072,1/131072,True,37377/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
475,00000000111011011,17,17,True,93697/262144,1/131072,1/131072,True,93699/262144,True,True,all_integer_control,post_freeze_evaluator,0
476,00000000111011100,17,17,True,-70143/262144,1/131072,1/131072,True,70145/262144,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
477,00000000111011101,17,17,True,60929/262144,1/131072,1/131072,True,60931/262144,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
478,00000000111011110,17,17,True,-4607/262144,1/131072,1/131072,True,4609/262144,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
479,00000000111011111,17,17,True,126465/262144,1/131072,1/131072,True,126467/262144,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
480,00000000111100000,17,17,True,-123391/262144,1/131072,1/131072,True,123393/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
481,00000000111100001,17,17,True,7681/262144,1/131072,1/131072,True,7683/262144,True,True,all_integer_control,post_freeze_evaluator,0
482,00000000111100010,17,17,True,-57855/262144,1/131072,1/131072,True,57857/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
483,00000000111100011,17,17,True,73217/262144,1/131072,1/131072,True,73219/262144,True,True,all_integer_control,post_freeze_evaluator,0
484,00000000111100100,17,17,True,-90623/262144,1/131072,1/131072,True,90625/262144,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
485,00000000111100101,17,17,True,40449/262144,1/131072,1/131072,True,40451/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
486,00000000111100110,17,17,True,-25087/262144,1/131072,1/131072,True,25089/262144,True,True,all_integer_control,post_freeze_evaluator,0
487,00000000111100111,17,17,True,105985/262144,1/131072,1/131072,True,105987/262144,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
488,00000000111101000,17,17,True,-107007/262144,1/131072,1/131072,True,107009/262144,True,True,all_integer_control,post_freeze_evaluator,0
489,00000000111101001,17,17,True,24065/262144,1/131072,1/131072,True,24067/262144,True,True,all_integer_control,post_freeze_evaluator,0
490,00000000111101010,17,17,True,-41471/262144,1/131072,1/131072,True,41473/262144,True,True,all_integer_control,post_freeze_evaluator,0
491,00000000111101011,17,17,True,89601/262144,1/131072,1/131072,True,89603/262144,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
492,00000000111101100,17,17,True,-74239/262144,1/131072,1/131072,True,74241/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
493,00000000111101101,17,17,True,56833/262144,1/131072,1/131072,True,56835/262144,True,True,all_integer_control,post_freeze_evaluator,0
494,00000000111101110,17,17,True,-8703/262144,1/131072,1/131072,True,8705/262144,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
495,00000000111101111,17,17,True,122369/262144,1/131072,1/131072,True,122371/262144,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
496,00000000111110000,17,17,True,-115199/262144,1/131072,1/131072,True,115201/262144,True,True,all_integer_control,post_freeze_evaluator,0
497,00000000111110001,17,17,True,15873/262144,1/131072,1/131072,True,15875/262144,True,True,all_integer_control,post_freeze_evaluator,0
498,00000000111110010,17,17,True,-49663/262144,1/131072,1/131072,True,49665/262144,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
499,00000000111110011,17,17,True,81409/262144,1/131072,1/131072,True,81411/262144,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
500,00000000111110100,17,17,True,-82431/262144,1/131072,1/131072,True,82433/262144,True,True,all_integer_control,post_freeze_evaluator,0
501,00000000111110101,17,17,True,48641/262144,1/131072,1/131072,True,48643/262144,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
502,00000000111110110,17,17,True,-16895/262144,1/131072,1/131072,True,16897/262144,True,True,all_integer_control,post_freeze_evaluator,0
503,00000000111110111,17,17,True,114177/262144,1/131072,1/131072,True,114179/262144,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
504,00000000111111000,17,17,True,-98815/262144,1/131072,1/131072,True,98817/262144,True,True,all_integer_control,post_freeze_evaluator,0
505,00000000111111001,17,17,True,32257/262144,1/131072,1/131072,True,32259/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
506,00000000111111010,17,17,True,-33279/262144,1/131072,1/131072,True,33281/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
507,00000000111111011,17,17,True,97793/262144,1/131072,1/131072,True,97795/262144,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash,post_freeze_evaluator,0
508,00000000111111100,17,17,True,-66047/262144,1/131072,1/131072,True,66049/262144,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
509,00000000111111101,17,17,True,65025/262144,1/131072,1/131072,True,65027/262144,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
510,00000000111111110,17,17,True,-511/262144,1/131072,1/131072,True,513/262144,True,True,all_integer_control,post_freeze_evaluator,0
511,00000000111111111,17,17,True,130561/262144,1/131072,1/131072,True,130563/262144,True,True,all_integer_control,post_freeze_evaluator,0
512,0000000001000000000,19,19,True,-523263/1048576,1/524288,1/524288,True,523265/1048576,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
513,0000000001000000001,19,19,True,1025/1048576,1/524288,1/524288,True,1027/1048576,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
514,0000000001000000010,19,19,True,-261119/1048576,1/524288,1/524288,True,261121/1048576,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
515,0000000001000000011,19,19,True,263169/1048576,1/524288,1/524288,True,263171/1048576,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
516,0000000001000000100,19,19,True,-392191/1048576,1/524288,1/524288,True,392193/1048576,True,True,all_integer_control,post_freeze_evaluator,0
517,0000000001000000101,19,19,True,132097/1048576,1/524288,1/524288,True,132099/1048576,True,True,all_integer_control,post_freeze_evaluator,0
518,0000000001000000110,19,19,True,-130047/1048576,1/524288,1/524288,True,130049/1048576,True,True,all_integer_control,post_freeze_evaluator,0
519,0000000001000000111,19,19,True,394241/1048576,1/524288,1/524288,True,394243/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
520,0000000001000001000,19,19,True,-457727/1048576,1/524288,1/524288,True,457729/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
521,0000000001000001001,19,19,True,66561/1048576,1/524288,1/524288,True,66563/1048576,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
522,0000000001000001010,19,19,True,-195583/1048576,1/524288,1/524288,True,195585/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
523,0000000001000001011,19,19,True,328705/1048576,1/524288,1/524288,True,328707/1048576,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
524,0000000001000001100,19,19,True,-326655/1048576,1/524288,1/524288,True,326657/1048576,True,True,all_integer_control,post_freeze_evaluator,0
525,0000000001000001101,19,19,True,197633/1048576,1/524288,1/524288,True,197635/1048576,True,True,all_integer_control,post_freeze_evaluator,0
526,0000000001000001110,19,19,True,-64511/1048576,1/524288,1/524288,True,64513/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
527,0000000001000001111,19,19,True,459777/1048576,1/524288,1/524288,True,459779/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
528,0000000001000010000,19,19,True,-490495/1048576,1/524288,1/524288,True,490497/1048576,True,True,all_integer_control,post_freeze_evaluator,0
529,0000000001000010001,19,19,True,33793/1048576,1/524288,1/524288,True,33795/1048576,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
530,0000000001000010010,19,19,True,-228351/1048576,1/524288,1/524288,True,228353/1048576,True,True,all_integer_control,post_freeze_evaluator,0
531,0000000001000010011,19,19,True,295937/1048576,1/524288,1/524288,True,295939/1048576,True,True,all_integer_control,post_freeze_evaluator,0
532,0000000001000010100,19,19,True,-359423/1048576,1/524288,1/524288,True,359425/1048576,True,True,all_integer_control,post_freeze_evaluator,0
533,0000000001000010101,19,19,True,164865/1048576,1/524288,1/524288,True,164867/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
534,0000000001000010110,19,19,True,-97279/1048576,1/524288,1/524288,True,97281/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
535,0000000001000010111,19,19,True,427009/1048576,1/524288,1/524288,True,427011/1048576,True,True,all_integer_control,post_freeze_evaluator,0
536,0000000001000011000,19,19,True,-424959/1048576,1/524288,1/524288,True,424961/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
537,0000000001000011001,19,19,True,99329/1048576,1/524288,1/524288,True,99331/1048576,True,True,all_integer_control,post_freeze_evaluator,0
538,0000000001000011010,19,19,True,-162815/1048576,1/524288,1/524288,True,162817/1048576,True,True,all_integer_control,post_freeze_evaluator,0
539,0000000001000011011,19,19,True,361473/1048576,1/524288,1/524288,True,361475/1048576,True,True,all_integer_control,post_freeze_evaluator,0
540,0000000001000011100,19,19,True,-293887/1048576,1/524288,1/524288,True,293889/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
541,0000000001000011101,19,19,True,230401/1048576,1/524288,1/524288,True,230403/1048576,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
542,0000000001000011110,19,19,True,-31743/1048576,1/524288,1/524288,True,31745/1048576,True,True,all_integer_control,post_freeze_evaluator,0
543,0000000001000011111,19,19,True,492545/1048576,1/524288,1/524288,True,492547/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
544,0000000001000100000,19,19,True,-506879/1048576,1/524288,1/524288,True,506881/1048576,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
545,0000000001000100001,19,19,True,17409/1048576,1/524288,1/524288,True,17411/1048576,True,True,all_integer_control,post_freeze_evaluator,0
546,0000000001000100010,19,19,True,-244735/1048576,1/524288,1/524288,True,244737/1048576,True,True,all_integer_control,post_freeze_evaluator,0
547,0000000001000100011,19,19,True,279553/1048576,1/524288,1/524288,True,279555/1048576,True,True,prime_evaluator|all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
548,0000000001000100100,19,19,True,-375807/1048576,1/524288,1/524288,True,375809/1048576,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
549,0000000001000100101,19,19,True,148481/1048576,1/524288,1/524288,True,148483/1048576,True,True,all_integer_control,post_freeze_evaluator,0
550,0000000001000100110,19,19,True,-113663/1048576,1/524288,1/524288,True,113665/1048576,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
551,0000000001000100111,19,19,True,410625/1048576,1/524288,1/524288,True,410627/1048576,True,True,all_integer_control,post_freeze_evaluator,0
552,0000000001000101000,19,19,True,-441343/1048576,1/524288,1/524288,True,441345/1048576,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash,post_freeze_evaluator,0
553,0000000001000101001,19,19,True,82945/1048576,1/524288,1/524288,True,82947/1048576,True,True,all_integer_control,post_freeze_evaluator,0
554,0000000001000101010,19,19,True,-179199/1048576,1/524288,1/524288,True,179201/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
555,0000000001000101011,19,19,True,345089/1048576,1/524288,1/524288,True,345091/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
556,0000000001000101100,19,19,True,-310271/1048576,1/524288,1/524288,True,310273/1048576,True,True,all_integer_control,post_freeze_evaluator,0
557,0000000001000101101,19,19,True,214017/1048576,1/524288,1/524288,True,214019/1048576,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
558,0000000001000101110,19,19,True,-48127/1048576,1/524288,1/524288,True,48129/1048576,True,True,all_integer_control,post_freeze_evaluator,0
559,0000000001000101111,19,19,True,476161/1048576,1/524288,1/524288,True,476163/1048576,True,True,all_integer_control,post_freeze_evaluator,0
560,0000000001000110000,19,19,True,-474111/1048576,1/524288,1/524288,True,474113/1048576,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
561,0000000001000110001,19,19,True,50177/1048576,1/524288,1/524288,True,50179/1048576,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
562,0000000001000110010,19,19,True,-211967/1048576,1/524288,1/524288,True,211969/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
563,0000000001000110011,19,19,True,312321/1048576,1/524288,1/524288,True,312323/1048576,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
564,0000000001000110100,19,19,True,-343039/1048576,1/524288,1/524288,True,343041/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
565,0000000001000110101,19,19,True,181249/1048576,1/524288,1/524288,True,181251/1048576,True,True,all_integer_control,post_freeze_evaluator,0
566,0000000001000110110,19,19,True,-80895/1048576,1/524288,1/524288,True,80897/1048576,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
567,0000000001000110111,19,19,True,443393/1048576,1/524288,1/524288,True,443395/1048576,True,True,all_integer_control,post_freeze_evaluator,0
568,0000000001000111000,19,19,True,-408575/1048576,1/524288,1/524288,True,408577/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
569,0000000001000111001,19,19,True,115713/1048576,1/524288,1/524288,True,115715/1048576,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
570,0000000001000111010,19,19,True,-146431/1048576,1/524288,1/524288,True,146433/1048576,True,True,all_integer_control,post_freeze_evaluator,0
571,0000000001000111011,19,19,True,377857/1048576,1/524288,1/524288,True,377859/1048576,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
572,0000000001000111100,19,19,True,-277503/1048576,1/524288,1/524288,True,277505/1048576,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
573,0000000001000111101,19,19,True,246785/1048576,1/524288,1/524288,True,246787/1048576,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
574,0000000001000111110,19,19,True,-15359/1048576,1/524288,1/524288,True,15361/1048576,True,True,all_integer_control,post_freeze_evaluator,0
575,0000000001000111111,19,19,True,508929/1048576,1/524288,1/524288,True,508931/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
576,0000000001001000000,19,19,True,-515071/1048576,1/524288,1/524288,True,515073/1048576,True,True,square_control|all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
577,0000000001001000001,19,19,True,9217/1048576,1/524288,1/524288,True,9219/1048576,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
578,0000000001001000010,19,19,True,-252927/1048576,1/524288,1/524288,True,252929/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
579,0000000001001000011,19,19,True,271361/1048576,1/524288,1/524288,True,271363/1048576,True,True,all_integer_control,post_freeze_evaluator,0
580,0000000001001000100,19,19,True,-383999/1048576,1/524288,1/524288,True,384001/1048576,True,True,all_integer_control,post_freeze_evaluator,0
581,0000000001001000101,19,19,True,140289/1048576,1/524288,1/524288,True,140291/1048576,True,True,all_integer_control,post_freeze_evaluator,0
582,0000000001001000110,19,19,True,-121855/1048576,1/524288,1/524288,True,121857/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
583,0000000001001000111,19,19,True,402433/1048576,1/524288,1/524288,True,402435/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
584,0000000001001001000,19,19,True,-449535/1048576,1/524288,1/524288,True,449537/1048576,True,True,all_integer_control,post_freeze_evaluator,0
585,0000000001001001001,19,19,True,74753/1048576,1/524288,1/524288,True,74755/1048576,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
586,0000000001001001010,19,19,True,-187391/1048576,1/524288,1/524288,True,187393/1048576,True,True,all_integer_control,post_freeze_evaluator,0
587,0000000001001001011,19,19,True,336897/1048576,1/524288,1/524288,True,336899/1048576,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
588,0000000001001001100,19,19,True,-318463/1048576,1/524288,1/524288,True,318465/1048576,True,True,all_integer_control,post_freeze_evaluator,0
589,0000000001001001101,19,19,True,205825/1048576,1/524288,1/524288,True,205827/1048576,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
590,0000000001001001110,19,19,True,-56319/1048576,1/524288,1/524288,True,56321/1048576,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
591,0000000001001001111,19,19,True,467969/1048576,1/524288,1/524288,True,467971/1048576,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
592,0000000001001010000,19,19,True,-482303/1048576,1/524288,1/524288,True,482305/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
593,0000000001001010001,19,19,True,41985/1048576,1/524288,1/524288,True,41987/1048576,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
594,0000000001001010010,19,19,True,-220159/1048576,1/524288,1/524288,True,220161/1048576,True,True,all_integer_control,post_freeze_evaluator,0
595,0000000001001010011,19,19,True,304129/1048576,1/524288,1/524288,True,304131/1048576,True,True,all_integer_control,post_freeze_evaluator,0
596,0000000001001010100,19,19,True,-351231/1048576,1/524288,1/524288,True,351233/1048576,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
597,0000000001001010101,19,19,True,173057/1048576,1/524288,1/524288,True,173059/1048576,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
598,0000000001001010110,19,19,True,-89087/1048576,1/524288,1/524288,True,89089/1048576,True,True,all_integer_control,post_freeze_evaluator,0
599,0000000001001010111,19,19,True,435201/1048576,1/524288,1/524288,True,435203/1048576,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
